client_id,nom,prenom,email,telephone,inscription,vip
1000,Simon,Nicolas,nicolas.simon@email.com,0633436229,2023-07-12,False
1001,Roux,Laura,laura.roux@email.com,0660864862,2024-02-20,True
1002,Michel,David,david.michel@email.com,0650820440,2022-10-09,False
1003,Bernard,Clara,clara.bernard@email.com,0663122620,2023-05-30,True
1004,Bernard,Clara,clara.bernard@email.com,0635238528,2022-08-22,True
1005,Durand,Paul,paul.durand@email.com,0617614100,2022-12-11,True
1006,Roux,Marc,marc.roux@email.com,0634413144,2024-06-01,True
1007,Martin,Paul,paul.martin@email.com,0682045476,2022-07-12,False
1008,Bernard,Emma,emma.bernard@email.com,0652548848,2023-11-06,True
1009,Simon,Jean,jean.simon@email.com,0612863277,2023-11-23,False
1010,Simon,Clara,clara.simon@email.com,0642781593,2023-03-02,True
1011,Michel,Alice,alice.michel@email.com,0663685637,2024-02-04,False
1012,Morel,Laura,laura.morel@email.com,0618831838,2023-03-23,True
1013,Leroy,Jean,jean.leroy@email.com,0654872056,2022-07-18,True
1014,Martin,Laura,laura.martin@email.com,0639611697,2022-10-23,False
1015,Morel,Alice,alice.morel@email.com,0681788824,2024-06-22,False
1016,Michel,Paul,paul.michel@email.com,0655844078,2024-05-09,False
1017,Durand,Emma,emma.durand@email.com,0660278990,2024-03-22,True
1018,Simon,Emma,emma.simon@email.com,0690860350,2024-07-15,True
1019,Morel,Laura,laura.morel@email.com,0699009024,2023-04-24,True
1020,Bernard,Alice,alice.bernard@email.com,0630293482,2022-07-03,False
1021,Simon,Marc,marc.simon@email.com,0694870725,2023-12-24,True
1022,Leroy,Clara,clara.leroy@email.com,0658119513,2024-05-20,False
1023,Michel,David,david.michel@email.com,0691042544,2024-06-23,True
1024,Roux,Emma,emma.roux@email.com,0621707331,2024-01-01,False
1025,Michel,Jean,jean.michel@email.com,0617290963,2024-04-18,False
1026,Bernard,Marc,marc.bernard@email.com,0667040970,2023-01-20,False
1027,Durand,Paul,paul.durand@email.com,0643277141,2024-02-11,True
1028,Morel,Sophie,sophie.morel@email.com,0616518571,2023-04-01,True
1029,Dupont,David,david.dupont@email.com,0652811793,2024-10-08,False
1030,Roux,Jean,jean.roux@email.com,0640194429,2023-10-31,True
1031,Simon,Jean,jean.simon@email.com,0692272448,2024-06-04,True
1032,Dupont,Alice,alice.dupont@email.com,0659847351,2023-12-26,False
1033,Martin,Marc,marc.martin@email.com,0661916207,2023-05-09,False
1034,Roux,Marc,marc.roux@email.com,0644643931,2022-07-28,True
1035,Bernard,Nicolas,nicolas.bernard@email.com,0689217685,2024-03-01,False
1036,Leroy,Emma,emma.leroy@email.com,0666537567,2023-01-24,True
1037,Lemoine,David,david.lemoine@email.com,0694190835,2024-09-29,False
1038,Michel,Clara,clara.michel@email.com,0639663923,2023-05-11,True
1039,Michel,Sophie,sophie.michel@email.com,0683430632,2024-04-27,False
1040,Durand,Sophie,sophie.durand@email.com,0640735856,2023-10-09,False
1041,Martin,Emma,emma.martin@email.com,0619517436,2024-05-16,False
1042,Bernard,Laura,laura.bernard@email.com,0639843746,2024-11-28,False
1043,Roux,Jean,jean.roux@email.com,0653045283,2022-10-31,True
1044,Leroy,Emma,emma.leroy@email.com,0691376951,2023-11-10,False
1045,Lemoine,Laura,laura.lemoine@email.com,0648737404,2023-05-07,True
1046,Lemoine,Marc,marc.lemoine@email.com,0653053638,2024-10-30,True
1047,Roux,Clara,clara.roux@email.com,0667221889,2022-09-23,False
1048,Lemoine,Jean,jean.lemoine@email.com,0617574681,2024-08-26,False
1049,Leroy,Jean,jean.leroy@email.com,0674113992,2024-01-03,False
1050,Morel,David,david.morel@email.com,0660174145,2023-06-27,False
1051,Leroy,Nicolas,nicolas.leroy@email.com,0666397161,2023-03-21,True
1052,Morel,Marc,marc.morel@email.com,0668314756,2024-02-04,True
1053,Durand,Nicolas,nicolas.durand@email.com,0620450314,2022-06-28,False
1054,Simon,Nicolas,nicolas.simon@email.com,0692359868,2024-07-14,False
1055,Lemoine,Clara,clara.lemoine@email.com,0688698978,2024-12-08,True
1056,Dupont,Marc,marc.dupont@email.com,0622150293,2024-01-31,False
1057,Simon,Jean,jean.simon@email.com,0687401256,2024-09-16,True
1058,Bernard,Nicolas,nicolas.bernard@email.com,0631087353,2024-06-07,True
1059,Morel,Paul,paul.morel@email.com,0677829808,2023-09-17,True
1060,Leroy,Sophie,sophie.leroy@email.com,0668433021,2024-06-02,False
1061,Dupont,David,david.dupont@email.com,0649644306,2022-11-25,False
1062,Roux,Laura,laura.roux@email.com,0672064828,2023-05-02,True
1063,Dupont,Paul,paul.dupont@email.com,0645621275,2024-02-03,False
1064,Simon,Emma,emma.simon@email.com,0669213250,2024-06-12,False
1065,Leroy,Marc,marc.leroy@email.com,0691069374,2024-02-23,True
1066,Dupont,Nicolas,nicolas.dupont@email.com,0645717623,2024-10-17,False
1067,Durand,Emma,emma.durand@email.com,0620785830,2024-07-16,True
1068,Martin,Emma,emma.martin@email.com,0621476736,2023-04-03,False
1069,Bernard,Sophie,sophie.bernard@email.com,0685654205,2023-10-20,False
1070,Michel,Sophie,sophie.michel@email.com,0625433920,2023-10-23,False
1071,Dupont,Laura,laura.dupont@email.com,0622029978,2023-01-01,False
1072,Michel,Laura,laura.michel@email.com,0622607116,2024-08-30,True
1073,Roux,Laura,laura.roux@email.com,0666848582,2022-10-19,False
1074,Bernard,David,david.bernard@email.com,0687097615,2024-08-19,True
1075,Morel,Laura,laura.morel@email.com,0624457858,2022-09-18,False
1076,Lemoine,Laura,laura.lemoine@email.com,0681282872,2023-11-07,False
1077,Leroy,Paul,paul.leroy@email.com,0688747849,2023-01-15,True
