{'client_id': '1003', 'nom': 'Bernard', 'prenom': 'Clara', 'email': 'clara.bernard@email.com', 'telephone': '0663122620', 'inscription': '2023-05-30', 'vip': 'True'}
{'client_id': '1004', 'nom': 'Bernard', 'prenom': 'Clara', 'email': 'clara.bernard@email.com', 'telephone': '0635238528', 'inscription': '2022-08-22', 'vip': 'True'}
{'client_id': '1010', 'nom': 'Simon', 'prenom': 'Clara', 'email': 'clara.simon@email.com', 'telephone': '0642781593', 'inscription': '2023-03-02', 'vip': 'True'}
{'client_id': '1022', 'nom': 'Leroy', 'prenom': 'Clara', 'email': 'clara.leroy@email.com', 'telephone': '0658119513', 'inscription': '2024-05-20', 'vip': 'False'}
{'client_id': '1038', 'nom': 'Michel', 'prenom': 'Clara', 'email': 'clara.michel@email.com', 'telephone': '0639663923', 'inscription': '2023-05-11', 'vip': 'True'}
{'client_id': '1047', 'nom': 'Roux', 'prenom': 'Clara', 'email': 'clara.roux@email.com', 'telephone': '0667221889', 'inscription': '2022-09-23', 'vip': 'False'}
{'client_id': '1055', 'nom': 'Lemoine', 'prenom': 'Clara', 'email': 'clara.lemoine@email.com', 'telephone': '0688698978', 'inscription': '2024-12-08', 'vip': 'True'}
{'client_id': '1083', 'nom': 'Leroy', 'prenom': 'Clara', 'email': 'clara.leroy@email.com', 'telephone': '0616732703', 'inscription': '2023-02-01', 'vip': 'True'}
{'client_id': '1101', 'nom': 'Leroy', 'prenom': 'Clara', 'email': 'clara.leroy@email.com', 'telephone': '0652256776', 'inscription': '2024-01-27', 'vip': 'False'}
{'client_id': '1115', 'nom': 'Bernard', 'prenom': 'Clara', 'email': 'clara.bernard@email.com', 'telephone': '0683242768', 'inscription': '2023-07-02', 'vip': 'False'}
{'client_id': '1127', 'nom': 'Durand', 'prenom': 'Clara', 'email': 'clara.durand@email.com', 'telephone': '0622878052', 'inscription': '2023-03-13', 'vip': 'False'}
{'client_id': '1138', 'nom': 'Dupont', 'prenom': 'Clara', 'email': 'clara.dupont@email.com', 'telephone': '0637686301', 'inscription': '2022-09-09', 'vip': 'False'}
{'client_id': '1146', 'nom': 'Dupont', 'prenom': 'Clara', 'email': 'clara.dupont@email.com', 'telephone': '0640564766', 'inscription': '2022-06-04', 'vip': 'True'}
